"no_overall","no_inseason","title","directed_by","written_by","orig_release_date","prod_code","u_s_viewers_millions","season_category"
266,13,"""DR 1-102""","Richard Dobbs","Marc Guggenheim & Aaron Zelman",2002-01-30,"E2216",20.56,"season_12"
274,21,"""Foul Play""","Richard Dobbs","Richard Sweren & Stuart Feldman",2002-05-01,"E2222",19.3,"season_12"
282,5,"""The Ring""","Richard Dobbs","Michael S. Chernuchin",2002-11-06,"E3309",18.44,"season_13"
283,6,"""Hitman""","Richard Dobbs","Eric Overmyer",2002-11-13,"E3302",19.02,"season_13"
286,9,"""The Wheel""","Richard Dobbs","Jill Goldsmith",2002-12-11,"E3307",19.62,"season_13"
299,22,"""Sheltered""","Richard Dobbs","Terri Kopp",2003-05-14,"E3324",18.33,"season_13"
308,7,"""Floater""","Richard Dobbs","Eric Overmyer",2003-11-12,"E4307",18.93,"season_14"
314,13,"""Married with Children""","Richard Dobbs","Wendy Battles & William N. Fordes",2004-02-04,"E4315",17.33,"season_14"
321,20,"""Everybody Loves Raimondo's""","Richard Dobbs","S : Richard Sweren;S/T : Lorenzo Carcaterra",2004-04-14,"E4327",16.16,"season_14"
324,23,"""Caviar Emptor""","Richard Dobbs","Roz Weinman",2004-05-12,"E4321",15.86,"season_14"
329,4,"""Coming Down Hard""","Richard Dobbs","Davey Holmes",2004-10-06,"15008",12.51,"season_15"
331,6,"""Cut""","Richard Dobbs","Wendy Battles",2004-10-27,"15002",13.23,"season_15"
335,10,"""Enemy""","Richard Dobbs","Alfredo Barrios, Jr.",2004-12-01,"15014",14.71,"season_15"
344,19,"""Sects""","Richard Dobbs","Frank Pugliese",2005-03-30,"15024",13.49,"season_15"
362,13,"""Heart of Darkness""","Richard Dobbs","Carter Harris",2006-01-18,"16013",12.38,"season_16"
368,19,"""Positive""","Richard Dobbs","Sonny Postiglione",2006-04-05,"16020",10.84,"season_16"
374,3,"""Home Sweet""","Richard Dobbs","Michael S. Chernuchin",2006-10-06,"17003",9.64,"season_17"
360,11,"""Bible Story""","Rick Wallace","Richard Sweren",2005-12-07,"16004",12.13,"season_16"
430,19,"""All New""","Roger Young","William N. Fordes & Keith Eisner",2009-05-06,"19020",8.14,"season_19"
443,10,"""Shotgun""","Roger Young","Richard Sweren & Julie Martin",2009-11-20,"20010",7.52,"season_20"
440,7,"""Boy Gone Astray""","Rose Troche","S : René Balcer;S/T : Keith Eisner",2009-11-06,"20007",7.98,"season_20"
447,14,"""Boy on Fire""","Rose Troche","S : Ed Zuckerman;T : Luke Schelhaas;S/T : Matthew McGough",2010-03-01,"20014",7.76,"season_20"
354,5,"""Lifeline""","Rosemary Rodriguez","Greg Plageman",2005-10-19,"16006",12.33,"season_16"
388,17,"""Good Faith""","Sam Weisman","David Slack",2007-03-30,"17017",7.47,"season_17"
463,7,"""Legacy""","Sarah Boyd","Pamela Wechsler",2022-04-28,"2107",4.15,"season_21"
198,17,"""Shield""","Stephen Wertimer","T : René Balcer;S/T : David Shore & I.C. Rapoport",1999-03-24,"E0202",15.24,"season_9"
209,4,"""Merger""","Stephen Wertimer","Lynn Mamet",1999-10-13,"E1101",16.84,"season_10"
234,5,"""Return""","Stephen Wertimer","Aaron Zelman",2000-11-15,"E1309",18.69,"season_11"
262,9,"""3 Dawg Night""","Stephen Wertimer","S : Aaron Zelman;S/T : Richard Sweren",2001-11-28,"E2203",20.22,"season_12"
33,11,"""His Hour Upon the Stage""","Steve Cohen","Robert Nathan & Giles Blunt",1991-12-10,"67407",18.3,"season_2"
270,17,"""Girl Most Likely""","Steve Shill","Lynn Mamet",2002-03-27,"E2227",19.25,"season_12"
285,8,"""Asterisk""","Steve Shill","Terri Kopp",2002-11-27,"E3308",15.84,"season_13"
42,20,"""Intolerance""","Steven Robman","Robert Nathan & Sally Nemeth",1992-04-14,"67426",14.9,"season_2"
63,19,"""Virus""","Steven Robman","Michael S. Chernuchin & René Balcer",1993-04-21,"68010",11.9,"season_3"
93,5,"""White Rabbit""","Steven Robman","Ed Zuckerman & Morgan Gendel",1994-10-19,"69411",18.2,"season_5"
519,18,"""Inherent Bias""","TBA","TBA",2025-04-10,"2418",NA,NA
520,19,"""Play with Fire Part 1""","TBA","TBA",2025-04-17,"2419",NA,NA
378,7,"""In Vino Veritas""","Tim Hunter","David Wilcox",2006-11-03,"17006",10.87,"season_17"
408,15,"""Bogeyman""","Tim Hunter","S : Gina Gionfriddo;S/T : Richard Sweren",2008-04-30,"18015",9.65,"season_18"
476,10,"""Land of Opportunity""","Timothy Busfield","Art Alamo",2023-01-05,"2210",4.73,"season_22"
367,18,"""Thinking Makes It So""","Tony Goldwyn","Michael S. Chernuchin",2006-03-29,"16019",9.35,"season_16"
3,3,"""The Reaper's Helper""","Vern Gillum","T : David Black & Robert Stuart Nathan;S/T : Thomas Francis McElroy",1990-10-04,"66215",14.6,"season_1"
5,5,"""Happily Ever After""","Vern Gillum","S : Dick Wolf;T : Robert Stuart Nathan;S/T : David Black",1990-10-23,"66216",19.4,"season_1"
22,22,"""The Blue Wall""","Vern Gillum","S : Dick Wolf;S/T : Robert Stuart Nathan",1991-06-09,"66220",12.2,"season_1"
49,5,"""Wedded Bliss""","Vern Gillum","Robert Nathan & Edward Pomerantz",1992-10-21,"68004",14.8,"season_3"
106,18,"""Privileged""","Vincent Misiano","Jeremy R. Littman & Suzanne O'Malley",1995-04-05,"69418",14.6,"season_5"
128,17,"""Deceit""","Vincent Misiano","René Balcer & Eddie Feldmann",1996-03-27,"K0118",15.3,"season_6"
138,4,"""Survivor""","Vincent Misiano","Barry M. Schkolnick",1996-10-23,"K1104",15.5,"season_7"
239,10,"""Whose Monkey Is It Anyway?""","Vincent Misiano","William M. Finkelstein",2001-01-17,"E1318",18.19,"season_11"
373,2,"""Avatar""","Vincent Misiano","David Slack",2006-09-29,"17002",10.03,"season_17"
442,9,"""For the Defense""","William Klayer","Ed Zuckerman & Luke Schelhaas",2009-11-13,"20009",7.42,"season_20"
455,22,"""Love Eternal""","William Klayer","Ed Zuckerman",2010-05-17,"20022",6.12,"season_20"
464,8,"""Severance""","Yangzom Brauen","Art Alamo",2022-05-05,"2108",4.23,"season_21"
481,15,"""Fear and Loathing""","Yangzom Brauen","Teleplay by : Pamela WechslerStory by : Pamela Wechsler & Ajani Jackson",2023-02-23,"2215",4.71,"season_22"
